,Accuracy1,Precision1,Recall1,F1Score1,Accuracy2,Precision2,Recall2,F1Score2
0,0.986,0.9875,0.9875,0.9875,0.523,1.0,0.0041753653444676405,0.008316008316008315
1,0.986,0.9806338028169014,0.9946428571428572,0.9875886524822696,0.479,0.4789579158316633,0.9979123173277662,0.6472579553148273
2,0.984,0.9874551971326165,0.9839285714285714,0.9856887298747764,0.531,0.8571428571428571,0.025052192066805846,0.0486815415821501
3,0.973,0.9586919104991394,0.9946428571428572,0.9763365468886942,0.48,0.4794794794794795,1.0,0.6481732070365359
4,0.986,0.9789473684210527,0.9964285714285714,0.9876106194690266,0.479,0.479,1.0,0.647734956051386
5,0.981,0.9787610619469026,0.9875,0.9831111111111112,0.479,0.4789579158316633,0.9979123173277662,0.6472579553148273
6,0.955,0.9256198347107438,1.0,0.9613733905579399,0.479,0.479,1.0,0.647734956051386
7,0.984,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.521,0.0,0.0,0.0
8,0.987,0.9806678383128296,0.9964285714285714,0.9884853852967228,0.479,0.4789579158316633,0.9979123173277662,0.6472579553148273
9,0.981,0.9737302977232924,0.9928571428571429,0.9832007073386384,0.516,0.0,0.0,0.0
